time_s,cpu_x,cpu_y,cpu_z,cuda_x,cuda_y,cuda_z,diff_m
0,6778136.3,0.0,0.0,6778136.5,0.0,0.0,0.20000000018626451
300,6391277.937702606,1400829.595617491,1769851.5385352909,6391278.0,1400829.6,1769851.2,0.2966427331841309
600,5274862.387803943,2642036.2384009906,3337454.5698907874,5274863.0,2642036.2,3337454.0,0.836477171756078
900,3556327.479808364,3582185.7397520286,4523672.389072267,3556328.0,3582185.8,4523672.0,0.6496780650661275
1200,1431842.3942325972,4114148.8712229007,5192950.81094278,1431843.1,4114149.0,5192950.5,0.8045433182079728
1500,-856084.9122364835,4177308.5870397054,5268808.526893254,-856084.06,4177309.0,5268808.0,1.0817600463570698
1800,-3046289.8132242747,3764467.284666705,4742576.951183585,-3046289.0,3764467.8,4742577.0,0.9382173728516299
2100,-4888762.752413502,2922667.0309111723,3674390.8173215482,-4888762.0,2922667.8,3674391.2,1.1271315197059775
2400,-6173187.622991207,1747829.28247244,2186316.324793316,-6173187.0,1747830.2,2186317.2,1.476561895601872
2700,-6752949.148633158,373824.8829474825,448402.1122181647,-6752949.0,373825.88,448403.28,1.5404205415868721
3000,-6561868.84133493,-1042780.2243490354,-1340752.9280975098,-6561869.5,-1042779.3,-1340751.5,1.8179028675021647
3300,-5621759.142917722,-2340565.384206159,-2976694.3952402226,-5621760.5,-2340564.5,-2976693.0,2.137799831219976
3600,-4039933.4584826096,-3371648.8504131697,-4272476.258789272,-4039935.2,-3371648.2,-4272475.0,2.2703702266161496
3900,-1996956.3207771347,-4018538.7271390436,-5080023.98151521,-1996958.5,-4018538.8,-5080023.0,2.390168828244605
4200,273967.99187437893,-4207521.096589488,-5307055.630249265,273965.62,-4207521.5,-5307055.5,2.4045372190493186
4500,2513615.5970267793,-3917059.7718279427,-4927627.327191924,2513613.2,-3917060.8,-4927627.5,2.5485717387873903
4800,4466333.228418584,-3180250.5217278562,-3985097.9678235534,4466331.5,-3180252.0,-3985099.0,2.4976203773658665
5100,5909220.82617239,-2081050.0902888875,-2587174.4144175495,5909219.5,-2081051.9,-2587176.2,2.8832776307036063
5400,6677575.324069659,-744709.6790970574,-893603.3720912315,6677575.0,-744711.6,-893605.7,3.0418213575206736
5700,6683691.249055433,676497.0483084423,902083.5506246028,6683692.0,676495.1,902081.0,3.2815726369390323
6000,5926872.069595235,2020625.1977348633,2594685.526669566,5926874.0,2020623.5,2594683.0,3.6045561886531097
6300,4493509.521717726,3134511.988717019,3990781.686862751,4493512.5,3134510.8,3990779.5,3.8970442449147633
6600,2547221.87859631,3891229.4954829244,4930834.150127306,2547225.5,3891229.0,4930832.5,4.010360100899296
6900,310176.895399105,4204548.072626965,5307419.099704406,310180.84,4204548.5,5307418.5,4.016437211759268
7200,-1962268.5772531237,4038762.367624275,5077502.562280462,-1962264.8,4038763.5,5077503.0,4.015188619455643
7500,-4010717.424641338,3412760.235063579,4267358.084227855,-4010714.0,3412762.0,4267359.5,4.104580323396961
7800,-5601342.216064611,2397870.86896648,2969564.3410561094,-5601340.0,2397873.2,2969567.0,4.201219537209535
8100,-6552576.314168718,1109737.3110755086,1332425.7760864848,-6552575.5,1109740.1,1332429.1,4.449299211859357
8400,-6755839.38282321,-304860.595657738,-456974.78277013806,-6755840.0,-304857.66,-456971.0,4.830152684684858
8700,-6187931.509261548,-1684731.3461715418,-2194154.878146215,-6187933.5,-1684728.6,-2194151.2,4.95290410794947
9000,-4913681.18566747,-2872639.2334235725,-3680599.5084484303,-4913685.0,-2872637.2,-3680596.2,5.394496073757374
9300,-3078544.915520682,-3733221.203591099,-4746446.286387035,-3078549.8,-3733220.0,-4746444.0,5.4816409479456025
9600,-892003.2265933999,-4168411.5084230048,-5269896.340685582,-892008.7,-4168411.2,-5269895.5,5.531277934798334
9900,1396351.5460561756,-4128616.5206168224,-5191132.794187996,1396346.1,-4128617.5,-5191133.5,5.553846599713813
10200,3525306.120525212,-3618366.322727305,-4519156.294322874,3525301.2,-3618368.5,-4519158.5,5.7730012828944375
10500,5251843.545865028,-2695799.028969198,-3330756.4706147863,5251840.0,-2695802.0,-3330759.8,5.6704982324746265
10800,6378883.273334016,-1466036.5410219063,-1761736.8551931125,6378881.5,-1466040.2,-1761741.2,6.017936491062126
11100,6777777.521699811,-69206.49865523401,8603.967826180786,6777777.5,-69210.42,8599.013,6.320240987168621
11400,6402996.014892827,1335524.7506327122,1777961.578632032,6402998.5,1335521.0,1777956.6,6.691896122370447
11700,5297322.872459757,2588088.7878062627,3344143.913279437,5297327.0,2588085.8,3344139.5,6.76327514857112
12000,3586972.47129748,3545754.747167967,4528176.615865106,3586978.2,3545752.8,4528173.5,6.862266247941508
12300,1467181.8420028903,4099393.5546247535,5194755.203873972,1467188.8,4099393.0,5194753.5,7.136611184493307
12600,-820075.7424055444,4185913.472155438,5267706.8902629055,-820068.6,4185914.2,5267707.0,7.160624698731092
12900,-3013711.9746751795,3795449.892386408,4738695.173722521,-3013705.5,3795452.2,4738697.5,7.272642397083129
13200,-4863326.556051501,2972490.0539758466,3668172.486347471,-4863321.5,2972493.5,3668176.5,7.31765986306802
13500,-6157790.071065582,1810804.4433939352,2178472.0355902207,-6157787.0,1810808.9,2178477.2,7.500709664478392
13800,-6749343.989403877,442762.3641890344,439828.26527313975,-6749343.5,442767.25,439834.38,7.838330642027546
14100,-6570466.822447908,-975750.9234929344,-1349076.5626129785,-6570469.0,-975746.2,-1349070.4,8.090606686754104
14400,-5641581.213847137,-2283096.880950782,-2983816.639999442,-5641586.0,-2283092.8,-2983811.0,8.472402687204953
14700,-4068722.2537776604,-3330302.1906748726,-4277583.224412854,-4068729.0,-3330299.2,-4277579.0,8.485561178901548
15000,-2031433.2297779531,-3998034.324427649,-5082532.073192452,-2031441.4,-3998033.0,-5082529.5,8.644077173741586
15300,237729.44379971834,-4210199.816560105,-5306678.237613961,237720.75,-4210200.5,-5306678.0,8.723858322247343
15600,2479742.577500058,-3942615.688990211,-4924407.576515097,2479734.5,-3942618.0,-4924410.0,8.74414389768911
15900,4438683.563463323,-3225765.858023243,-3979403.7937899437,4438677.0,-3225769.8,-3979408.2,8.836534497916071
16200,5890943.632839058,-2141328.3453240483,-2579656.5146550853,5890939.0,-2141333.5,-2579662.8,9.322736084758358
16500,6670752.349362886,-812868.9176079463,-885120.8491692607,6670751.0,-812874.7,-885128.06,9.335125862168622
16800,6689099.763668345,608238.4878917641,910561.3625214394,6689101.5,608232.7,910553.9,9.629245533209724
17100,5943896.322106825,1960060.2779482985,2602189.8317055767,5943901.0,1960055.1,2602183.0,9.752320842196722
17400,4520210.840224936,3088555.261905231,3996454.9359961725,4520218.5,3088551.2,3996449.5,10.213598386770915
17700,2580559.4389870977,3865127.684079459,4934028.036908064,2580568.8,3865125.5,4934024.5,10.19680749073686
18000,346354.0162787836,4201281.067444313,5307768.645025818,346364.25,4201281.0,5307768.0,10.25425067840329
18300,-1927372.0493732116,4058703.0304383817,5074967.822103199,-1927362.1,4058705.0,5074970.0,10.349666230766474
18600,-3981075.8816743037,3453631.8440086986,4262228.7141562365,-3981067.5,3453635.8,4262233.5,10.412181937910644
18900,-5580331.645562966,2455007.0634923154,2962426.4961529505,-5580325.5,2455012.8,2962433.2,10.757265627920864
19200,-6542589.798404041,1176614.8571535894,1324095.1284263923,-6542587.0,1176621.5,1324103.4,10.95282839622653
19500,-6758014.531291563,-235877.04680213082,-465546.2544384584,-6758015.5,-235870.19,-465537.56,11.114774668097102
19800,-6202020.869289678,-1621517.5352273867,-2201987.6750842878,-6202025.5,-1621511.2,-2201979.5,11.303962336511335
20100,-4938080.393035654,-2822412.1303217006,-3686798.543439478,-4938088.5,-2822407.0,-3686791.8,11.755589802408052
20400,-3110475.38269604,-3701715.0614118115,-4750303.169181581,-3110485.8,-3701712.0,-4750298.5,11.775164131013476
20700,-927828.5661439182,-4159223.2022677963,-5270970.328785984,-927840.25,-4159222.5,-5270969.0,11.780125007347909
21000,1360711.396601643,-4142794.9121553376,-5189301.158379221,1360699.8,-4142796.5,-5189303.0,11.897737078694114
21300,3493910.233990503,-3654292.530514846,-4514628.3434649985,3493900.0,-3654296.5,-4514633.0,11.923702957669121
21600,5228267.719576047,-2749371.2719473573,-3324049.6330240523,5228260.0,-2749377.2,-3324057.0,12.23116112049507
21900,6365812.771181297,-1531138.4497636294,-1753617.549894565,6365808.5,-1531145.8,-1753626.6,12.405401218478334
